"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","388","should make a successful POST request","","Fri Dec 27 16:05:13 IST 2024","passed","Fri Dec 27 16:05:13 IST 2024","","POST API Tests","POST API Tests","should make a successful POST request"
"","566","should make a successful PUT request","","Fri Dec 27 16:05:18 IST 2024","passed","Fri Dec 27 16:05:19 IST 2024","","PUT API Tests","PUT API Tests","should make a successful PUT request"
"","906","should make a successful DELETE request","","Fri Dec 27 16:04:57 IST 2024","passed","Fri Dec 27 16:04:58 IST 2024","","DELETE API Tests","DELETE API Tests","should make a successful DELETE request"
"","249","should make a successful GET request","","Fri Dec 27 16:05:03 IST 2024","passed","Fri Dec 27 16:05:04 IST 2024","","GET API Tests","GET API Tests","should make a successful GET request"
"","349","should make a successful PATCH request","","Fri Dec 27 16:05:08 IST 2024","passed","Fri Dec 27 16:05:09 IST 2024","","PATCH API Tests","PATCH API Tests","should make a successful PATCH request"
